compound_id,compound_name,canonical_smiles,structure_key,structure_id,connectivity_group,original_dili_category,dili_label,label_source,structure_source,pubchem_cid,standardization_version,source_compound_ids,source_original_categories
LT00023,Ketoprofen,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,DKYWVDODHFEZIM-UHFFFAOYSA-N,e23a61dd2c06a7d26f4cf24bd9a85d669b0370e9812aa416bb91f8b6eb828e3a,DKYWVDODHFEZIM,vLess-DILI-concern,1,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/3825,3825,dilirank_parent_v1,"[""LT00023""]","[""vLess-DILI-concern""]"
LT00024,Mannitol,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,FBPFZTCFMRRESA-KVTDHHQDSA-N,8cff2a1973eacbbd84edfb8f725d05dd21fd9c61139fe9be32465a774c9bff1e,FBPFZTCFMRRESA,vNo-DILI-concern,0,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/6251,6251,dilirank_parent_v1,"[""LT00024""]","[""vNo-DILI-concern""]"
LT00026,Methotrexate sodium,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,FBOZXECLQNJBKD-ZDUSSCGKSA-N,ad0c2750936569a993e23b20e7892d025133ccffc437e219e1fe19dc8f1e3617,FBOZXECLQNJBKD,vMost-DILI-concern,1,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/11329481,11329481,dilirank_parent_v1,"[""LT00026""]","[""vMost-DILI-concern""]"
LT00030,Phenobarbital sodium,CCC1(c2ccccc2)C(=O)N=C(O)NC1=O,DDBREPKUVSBGFI-UHFFFAOYSA-N,da9b8495d064f37ec379c4fa142f2b018bd88aa49174bb4eecd6c705d32c9c00,DDBREPKUVSBGFI,vLess-DILI-concern,1,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/23674889,23674889,dilirank_parent_v1,"[""LT00030""]","[""vLess-DILI-concern""]"
LT00032,Phenytoin,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,CXOFVDLJLONNDW-UHFFFAOYSA-N,db2bc4aa24cc15ed894c7a83580457174633649d00bd0f9f2cc11c3205cca7d3,CXOFVDLJLONNDW,vMost-DILI-concern,1,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/1775,1775,dilirank_parent_v1,"[""LT00032""]","[""vMost-DILI-concern""]"
LT00034,Rifampin,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,JQXXHWHPUNPDRT-WLSIYKJHSA-N,9bb0785b4e39f60ddf45f9a9c1cb57c213e29aa3fdccab01944b9ff832d5418a,JQXXHWHPUNPDRT,vMost-DILI-concern,1,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/135398735,135398735,dilirank_parent_v1,"[""LT00034""]","[""vMost-DILI-concern""]"
LT00040,Abacavir sulfate,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,MCGSCOLBFJQGHM-SCZZXKLOSA-N,e016970db0d3a95163b372b456449a06476a5b1d99517ed0c3dd285819d6742a,MCGSCOLBFJQGHM,vMOST-DILI-concern,1,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/441384,441384,dilirank_parent_v1,"[""LT00040""]","[""vMOST-DILI-concern""]"
LT00041,Acyclovir,Nc1nc2c(ncn2COCCO)c(=O)[nH]1,MKUXAQIIEYXACX-UHFFFAOYSA-N,757f71c7206567d8ce8dc48ad1c2751f9bde3ab9416a708f7feda20cc6e1e7f4,MKUXAQIIEYXACX,vLess-DILI-concern,1,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/135398513,135398513,dilirank_parent_v1,"[""LT00041""]","[""vLess-DILI-concern""]"
LT00043,Allopurinol,O=c1[nH]cnc2[nH]ncc12,OFCNXPDARWKPPY-UHFFFAOYSA-N,2d766a62c84f35ef2f3278da85c4466dc4da64586fe2aee98a4fb2d4e2d2ad57,OFCNXPDARWKPPY,vMost-DILI-concern,1,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/135401907,135401907,dilirank_parent_v1,"[""LT00043""]","[""vMost-DILI-concern""]"
LT00045,Amineptine,O=C(O)CCCCCCNC1c2ccccc2CCc2ccccc21,ONNOFKFOZAJDHT-UHFFFAOYSA-N,f9c0dca2c3e4d0a75b1c9b2dd6b043f0ee008ed718b8d453862b77a5f968d2f9,ONNOFKFOZAJDHT,vMost-DILI-concern,1,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/34870,34870,dilirank_parent_v1,"[""LT00045""]","[""vMost-DILI-concern""]"
LT00046,Amiodarone hydrochloride,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,IYIKLHRQXLHMJQ-UHFFFAOYSA-N,df297027645e1786a36f5988bbaa9c294e4c3d4e598bafbeab6af9739fc7a45d,IYIKLHRQXLHMJQ,vMost-DILI-concern,1,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/441325,441325,dilirank_parent_v1,"[""LT00046""]","[""vMost-DILI-concern""]"
LT00047,Amitriptyline hydrochloride,CN(C)CCC=C1c2ccccc2CCc2ccccc21,KRMDCWKBEZIMAB-UHFFFAOYSA-N,f8641f4a8a5a81f1d1e66001786794f02982fd5edae8be493940f42b5661b5f0,KRMDCWKBEZIMAB,vLess-DILI-concern,1,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/11065,11065,dilirank_parent_v1,"[""LT00047""]","[""vLess-DILI-concern""]"
LT00048,Amphotericin B,C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O,APKFDSVGJQXUKY-INPOYWNPSA-N,e955bb0908d3328de020a5f18901e0608e6c17de5197c3f94fd2fa28883c5d2a,APKFDSVGJQXUKY,vLess-DILI-concern,1,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/5280965,5280965,dilirank_parent_v1,"[""LT00048""]","[""vLess-DILI-concern""]"
LT00049,Ampicillin sodium,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,AVKUERGKIZMTKX-NJBDSQKTSA-N,3c9e56fd95c9ee9c12f70e1fe51fabfa0836bce01e53b14169c49d770025f8b2,AVKUERGKIZMTKX,vLess-DILI-concern,1,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/23663979,23663979,dilirank_parent_v1,"[""LT00049""]","[""vLess-DILI-concern""]"
LT00052,Donepezil hydrochloride,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,ADEBPBSSDYVVLD-UHFFFAOYSA-N,d3044ada2bdf8067c9a0a407a52102d19208d229f22b9cd98255c89f78cbc37a,ADEBPBSSDYVVLD,vLess-DILI-concern,1,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/5741,5741,dilirank_parent_v1,"[""LT00052""]","[""vLess-DILI-concern""]"
LT00053,Aspirin,CC(=O)Oc1ccccc1C(=O)O,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,845cc227514ece818f6db89080eea38241fbaf6ed4389ff6d682d35c5a004d71,BSYNRYMUTXBXSQ,vLess-DILI-concern,1,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/2244,2244,dilirank_parent_v1,"[""LT00053""]","[""vLess-DILI-concern""]"
LT00054,Aminohippurate sodium,Nc1ccc(C(=O)NCC(=O)O)cc1,HSMNQINEKMPTIC-UHFFFAOYSA-N,75c602ad462cc98c3923bb952c79d03159ed3617662a6a0b48d13e0a45964e8a,HSMNQINEKMPTIC,vNo-DILI-concern,0,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/443971,443971,dilirank_parent_v1,"[""LT00054""]","[""vNo-DILI-concern""]"
LT00056,Bicalutamide,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,LKJPYSCBVHEWIU-UHFFFAOYSA-N,fdc97b448090adcbf805e8327cee85604a4ebc3cf682d098d74d03a1b891a82a,LKJPYSCBVHEWIU,vMost-DILI-concern,1,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/2375,2375,dilirank_parent_v1,"[""LT00056""]","[""vMost-DILI-concern""]"
LT00058,Bupropion hydrochloride,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,SNPPWIUOZRMYNY-UHFFFAOYSA-N,39291aebe19658ca16e3aad876f63a18c25c9dfe7181e72996e5e2b4f2226eac,SNPPWIUOZRMYNY,vLess-DILI-concern,1,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/62884,62884,dilirank_parent_v1,"[""LT00058""]","[""vLess-DILI-concern""]"
LT00059,Captopril,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,FAKRSMQSSFJEIM-RQJHMYQMSA-N,af5f57a1c519b8b28aff2298d5c5d1d62cc27be14a2e71913ff85317989f88fa,FAKRSMQSSFJEIM,vLess-DILI-concern,1,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/44093,44093,dilirank_parent_v1,"[""LT00059""]","[""vLess-DILI-concern""]"
LT00060,Carbamazepine,NC(=O)N1c2ccccc2C=Cc2ccccc21,FFGPTBGBLSHEPO-UHFFFAOYSA-N,0ad0a4823376465d1ba764b4cb1ba891240ff5e963a3e16afdb6489675ff0a85,FFGPTBGBLSHEPO,vMost-DILI-concern,1,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/2554,2554,dilirank_parent_v1,"[""LT00060""]","[""vMost-DILI-concern""]"
LT00062,Ceftazidime,CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)O,ORFOPKXBNMVMKC-DWVKKRMSSA-N,a0da7943a22a052e11c31cdb60ffa27060dad169c24a48d8e90c4a56077f05ce,ORFOPKXBNMVMKC,vLess-DILI-concern,1,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/5481173,5481173,dilirank_parent_v1,"[""LT00062""]","[""vLess-DILI-concern""]"
LT00066,Chlorcyclizine hydrochloride,CN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,WFNAKBGANONZEQ-UHFFFAOYSA-N,0c669b4dd894241124320ac6cc6ad7b7600f20b39d9743004b1c55ab409928e6,WFNAKBGANONZEQ,vLess-DILI-concern,1,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/62413,62413,dilirank_parent_v1,"[""LT00066""]","[""vLess-DILI-concern""]"
LT00067,Chlorzoxazone,O=c1[nH]c2cc(Cl)ccc2o1,TZFWDZFKRBELIQ-UHFFFAOYSA-N,0aefd81e13613257a8200740b3760e19d0cad0e956b37a322d4505a3c3f7c0dc,TZFWDZFKRBELIQ,vMost-DILI-concern,1,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/2733,2733,dilirank_parent_v1,"[""LT00067""]","[""vMost-DILI-concern""]"
LT00068,Chlorpromazine hydrochloride,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,ZPEIMTDSQAKGNT-UHFFFAOYSA-N,d3e590b68d55bf5883ec5edffb811e75bb62ba036bc3fef20fea7064915f71e4,ZPEIMTDSQAKGNT,vLess-DILI-concern,1,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/6240,6240,dilirank_parent_v1,"[""LT00068""]","[""vLess-DILI-concern""]"
LT00074,Dimercaprol,OCC(S)CS,WQABCVAJNWAXTE-UHFFFAOYSA-N,50ef09c1035decac498d355629911e3d76eff3c2142a93bc958956c512a99820,WQABCVAJNWAXTE,vNo-DILI-concern,0,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/3080,3080,dilirank_parent_v1,"[""LT00074""]","[""vNo-DILI-concern""]"
LT00079,Dactinomycin,Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O,RJURFGZVJUQBHK-IIXSONLDSA-N,82a6fd67a5ac4cfed66b3354df1517e36e092057d1c2e992e3975d1e36fb118c,RJURFGZVJUQBHK,vMost-DILI-concern,1,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/457193,457193,dilirank_parent_v1,"[""LT00079""]","[""vMost-DILI-concern""]"
LT00080,Dantrolene sodium,O=C1N=C(O)CN1/N=C/c1ccc(-c2ccc([N+](=O)[O-])cc2)o1,OZOMQRBLCMDCEG-VIZOYTHASA-N,82887210cef72fe97d3990e4c670aff4cb32e1c037927d383da4f0923dc42ca3,OZOMQRBLCMDCEG,vMost-DILI-concern,1,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/6604100,6604100,dilirank_parent_v1,"[""LT00080""]","[""vMost-DILI-concern""]"
LT00083,Propoxyphene hydrochloride,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C,XLMALTXPSGQGBX-GCJKJVERSA-N,ccf0f5523257834cd7033ad461a75b5edd3878efdd0599e491ab2ff8403281a7,XLMALTXPSGQGBX,vLess-DILI-concern,1,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/15424,15424,dilirank_parent_v1,"[""LT00083""]","[""vLess-DILI-concern""]"
LT00084,Diclofenac sodium,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,DCOPUUMXTXDBNB-UHFFFAOYSA-N,694c8ba1b8cb42e1996d5c13599c1c3159cd532557bdfd44f6aa38bd8b1356d2,DCOPUUMXTXDBNB,vMost-DILI-concern,1,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/5018304,5018304,dilirank_parent_v1,"[""LT00084""]","[""vMost-DILI-concern""]"
LT00085,Diflunisal,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,HUPFGZXOMWLGNK-UHFFFAOYSA-N,c3942aed3d9a51e121f1a64b1954debf1a7f3117c0319ac7a60cbf4d4d917ec4,HUPFGZXOMWLGNK,vMost-DILI-concern,1,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/3059,3059,dilirank_parent_v1,"[""LT00085""]","[""vMost-DILI-concern""]"
LT00087,Diphenhydramine hydrochloride,CN(C)CCOC(c1ccccc1)c1ccccc1,ZZVUWRFHKOJYTH-UHFFFAOYSA-N,e2f64db6e0fa86ea3652eb352d77df8d3a90b09579f9331f98c9aa3e15fe6cc3,ZZVUWRFHKOJYTH,vNo-DILI-concern,0,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/8980,8980,dilirank_parent_v1,"[""LT00087""]","[""vNo-DILI-concern""]"
LT00094,Etoposide,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,VJJPUSNTGOMMGY-MRVIYFEKSA-N,f00f5602bd1e541bfe92584044e7aac28a282e74567f8259872994e40a6b769b,VJJPUSNTGOMMGY,vLess-DILI-concern,1,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/36462,36462,dilirank_parent_v1,"[""LT00094""]","[""vLess-DILI-concern""]"
LT00095,Famotidine,NC(N)=Nc1nc(CSCC/C(N)=N/S(N)(=O)=O)cs1,XUFQPHANEAPEMJ-UHFFFAOYSA-N,092e99b8d55ddcd9d52f1f636523de337a51ad26cb5c841be82aab8331ccc0df,XUFQPHANEAPEMJ,vLess-DILI-concern,1,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/5702160,5702160,dilirank_parent_v1,"[""LT00095""]","[""vLess-DILI-concern""]"
LT00097,Felbamate,NC(=O)OCC(COC(N)=O)c1ccccc1,WKGXYQFOCVYPAC-UHFFFAOYSA-N,ea1d4c10c5b1c40e614e21c81b36dfe7f2f975ae743369372e39c09bfd0a6720,WKGXYQFOCVYPAC,vMost-DILI-concern,1,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/3331,3331,dilirank_parent_v1,"[""LT00097""]","[""vMost-DILI-concern""]"
LT00098,Fenofibrate,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,YMTINGFKWWXKFG-UHFFFAOYSA-N,f2f0ec40912b51eb0a1c74ebd2b9079ea49764176a974b7b8f8a298953a6aea1,YMTINGFKWWXKFG,vLess-DILI-concern,1,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/3339,3339,dilirank_parent_v1,"[""LT00098""]","[""vLess-DILI-concern""]"
LT00099,Fenoprofen calcium,CC(C(=O)O)c1cccc(Oc2ccccc2)c1,RDJGLLICXDHJDY-UHFFFAOYSA-N,8f844fa05bdbfcf751af80a45c7fbc1bb4f325656f292d58eb20a1b288017234,RDJGLLICXDHJDY,vMost-DILI-concern,1,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/64747,64747,dilirank_parent_v1,"[""LT00099""]","[""vMost-DILI-concern""]"
LT00101,Flutamide,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,MKXKFYHWDHIYRV-UHFFFAOYSA-N,45829fc48483a218deb789641fac0a2103ad7c3d50b8933fc69dec18576f222c,MKXKFYHWDHIYRV,vMost-DILI-concern,1,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/3397,3397,dilirank_parent_v1,"[""LT00101""]","[""vMost-DILI-concern""]"
LT00106,Hydroxyurea,NC(=O)NO,VSNHCAURESNICA-UHFFFAOYSA-N,a83c5e422e8bbbca631761012c9cbaa0acfd50e1c42593f3fbd9d95b72e1206f,VSNHCAURESNICA,vMost-DILI-concern,1,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/3657,3657,dilirank_parent_v1,"[""LT00106""]","[""vMost-DILI-concern""]"
LT00107,Imatinib mesylate,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,KTUFNOKKBVMGRW-UHFFFAOYSA-N,0af895e96bef7b4d06a1e8828b623ba6012a16fe27fa16d2109626cad561b3fd,KTUFNOKKBVMGRW,vMost-DILI-concern,1,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/123596,123596,dilirank_parent_v1,"[""LT00107""]","[""vMost-DILI-concern""]"
LT00108,Imipramine hydrochloride,CN(C)CCCN1c2ccccc2CCc2ccccc21,BCGWQEUPMDMJNV-UHFFFAOYSA-N,640fc145bbe655e41be6c4759ee85a2e1589d4291e24de8634d5dc2c6e218db8,BCGWQEUPMDMJNV,vLess-DILI-concern,1,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/8228,8228,dilirank_parent_v1,"[""LT00108""]","[""vLess-DILI-concern""]"
LT00109,Iproniazid,CC(C)NNC(=O)c1ccncc1,NYMGNSNKLVNMIA-UHFFFAOYSA-N,c0b08c44b62baafa2d44086e2d193f9e57130679d26b614d7476b91938c10479,NYMGNSNKLVNMIA,vMost-DILI-concern,1,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/3748,3748,dilirank_parent_v1,"[""LT00109""]","[""vMost-DILI-concern""]"
LT00111,Ketoconazole,CC(=O)N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,XMAYWYJOQHXEEK-ZEQKJWHPSA-N,c10c8033a8273cb3dbeb08107ff3f301501c67c2dd1698db7d40bb002a61917e,XMAYWYJOQHXEEK,vMost-DILI-concern,1,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/47576,47576,dilirank_parent_v1,"[""LT00111""]","[""vMost-DILI-concern""]"
LT00112,Labetalol hydrochloride,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,SGUAFYQXFOLMHL-UHFFFAOYSA-N,3e2fe6c610d84b27ce1eb65e6d2ffb7d6ba006db0472ea5c52f2978cb6fb3026,SGUAFYQXFOLMHL,vMost-DILI-concern,1,https://www.fda.gov/media/113052/download?attachment=,https://pubchem.ncbi.nlm.nih.gov/compound/71412,71412,dilirank_parent_v1,"[""LT00112""]","[""vMost-DILI-concern""]"
